Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Nelaje,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.63444444,12.29777778,17.75,72,48.8,13.376,390,10.35,9.3,NaN
Nelligere,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.8,12.95,52,20,174,24.32,503,49.75,7.78,NaN
Neralakatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.79027778,13.66305556,21.3,10,54.9,1.21,160,33,8.861,NaN
Nimbala,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,77.39166667,17.35,149.1,48,256.2,77.824,1701,233,7.748,NaN
Nirna,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2019,77.31666667,17.7,82,24,89,16.94,597,72,8.6,NaN
Nuggehalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.47583333,13.01138889,135,40,220,66,1254,63,9.28,NaN
Nujje,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.34777778,15.05638889,10.65,24,61,1.21,278,26,9.25,NaN
Parkala,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.80722222,13.355,35.5,8,24.4,1.21,170,32,6.928,NaN
Parsanahalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.05694444,12.92805556,75,20,134,41,815,55,9.88,NaN
Pathan,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.725,17.425,71,32,195.2,31.616,1096,190.8,8.023,NaN
Pattadakal,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2019,75.8,15.95,560.9,32,457.5,87.408,2960,369.7,8.803,NaN
Rabakavi,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2019,75.10833333,16.475,284,64,12.2,24.28,1629,257.8,9.509,NaN
Ragi Hosalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.60138889,14.52361111,21.3,20,55,1.21,373,55,8.86,NaN
Rajeshwar,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2019,77.05,17.80833333,39.05,36,80,13.31,479,33,8.56,NaN
Rameshwaranagar,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.16666667,13.03333333,85,84,427,49,911,41,8.15,NaN
Ranibennur A,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2019,75.56666667,14.56666667,166.85,46,176.9,64.448,980,58,8.24,6.4
Ravur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,77.00833333,17.075,78.1,24,207.4,26.752,1376,247.7,8.415,NaN
Revannur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.725,16.99166667,142,52,378.2,63.232,2200,392.3,8.194,NaN
Sabrikatta,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.77555556,13.51222222,42.6,6,30.5,0,230,39,7.128,NaN
Sadashivgad,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.12972222,14.85416667,49.7,24,147,17,534,52,7.89,NaN
Saigaon,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2019,77.09333333,18.08527778,64,32,134,22.99,690,52,8.48,NaN
Sakaleshpura,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,75.78333333,12.95,75,116,415,27,792,47,7.48,NaN
Salgar,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.78333333,17.63333333,227.2,40,475.8,80.256,1805,136.3,7.828,NaN
Sanganhal Dw,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Upper,2019,75.98777778,15.57083333,1354,278,110,290.624,7250,547.4,7.65,NaN
Sangasandra,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2019,78.41111111,13.22361111,269.8,60,244,50.82,1712,231,8.57,NaN
Santhekatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.73472222,13.38527778,56.8,14,73.2,2.42,430,46,7.663,NaN
Sasargaon,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,77.21666667,17.49583333,117.15,24,85.4,46.208,1589,224.4,8.53,NaN
Sasthana,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.74444444,13.47722222,28.4,4,24.4,3.63,160,22,6.774,NaN
Satenahalli,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2019,75.31416667,14.57305556,291.1,84,286.7,93.632,1550,78,7.98,NaN
Savalgi2,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2019,75.33333333,16.69166667,624.8,52,207.4,167.532,2950,325.7,8.343,NaN
Settihalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.03333333,12.86666667,121,28,85,39,1354,57,9.16,NaN
Shaktinagar,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Middle,2019,77.27083333,16.27083333,255.6,60,152.5,114.116,2010,161.8,8.114,NaN
Shanivarasante,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.89583333,12.725,63.9,54,140.3,35.264,520,21.55,8.1,NaN
Shankarnarayana,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.8625,13.60416667,21.3,8,48.8,1.21,190,32,7.04,NaN
Sheradanahally,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.10055556,12.60944444,53,112,647,68,664,20,8.21,NaN
Shirhatti1,CGWB,Karnataka,Gadag,Krishna Basin,Tungabhadra Upper,2019,75.575,15.22916667,120,38,178,27.968,834,110,8.23,NaN
Shiroor,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.84,13.5125,21.3,4,61,1.21,210,41,7.42,NaN
Shivanasamudra,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,77.09972222,12.25,78.1,60,194,4.864,734,73,8.249,NaN
Shivapura,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,77.05305556,12.53138889,122,42,262.766,29.184,1211,125,8.15,NaN
Shivpur Tanda,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.63027778,16.80222222,63.9,36,225.7,59.584,856,33.3,7.994,NaN
Shravan Belgola,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.4875,12.85555556,85,16,195,49,894,81,9.12,NaN
